Grand Prix,Driver,Car,Time,year,Code
Great Britain,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:20.638,2007,RAI
Europe,Felipe  Massa ,Ferrari,1:32.853,2007,MAS
Hungary,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:20.047,2007,RAI
Turkey,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:27.295,2007,RAI
Italy,Fernando  Alonso ,McLaren Mercedes,1:22.871,2007,ALO
Belgium,Felipe  Massa ,Ferrari,1:48.036,2007,MAS
Japan,Lewis  Hamilton ,McLaren Mercedes,1:28.193,2007,HAM
China,Felipe  Massa ,Ferrari,1:37.454,2007,MAS
Brazil,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:12.445,2007,RAI
Australia,Heikki  Kovalainen ,McLaren Mercedes,1:27.418,2008,KOV
Malaysia,Nick  Heidfeld ,Sauber BMW,1:35.366,2008,HEI
Bahrain,Heikki  Kovalainen ,McLaren Mercedes,1:33.193,2008,KOV
Spain,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:21.670,2008,RAI
Turkey,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:26.506,2008,RAI
Monaco,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:16.689,2008,RAI
Canada,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:17.387,2008,RAI
France,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:16.630,2008,RAI
Great Britain,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:32.150,2008,RAI
Germany,Nick  Heidfeld ,Sauber BMW,1:15.987,2008,HEI
Hungary,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:21.195,2008,RAI
Europe,Felipe  Massa ,Ferrari,1:38.708,2008,MAS
Belgium,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:47.930,2008,RAI
Italy,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:28.047,2008,RAI
Singapore,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:45.599,2008,RAI
Japan,Felipe  Massa ,Ferrari,1:18.426,2008,MAS
China,Lewis  Hamilton ,McLaren Mercedes,1:36.325,2008,HAM
Brazil,Felipe  Massa ,Ferrari,1:13.736,2008,MAS
Australia,Nico  Rosberg ,Williams Toyota,1:27.706,2009,ROS
Malaysia,Jenson  Button ,Brawn Mercedes,1:36.641,2009,BUT
China,Rubens  Barrichello ,Brawn Mercedes,1:52.592,2009,BAR
Bahrain,Jarno  Trulli ,Toyota,1:34.556,2009,TRU
Spain,Rubens  Barrichello ,Brawn Mercedes,1:22.762,2009,BAR
Monaco,Felipe  Massa ,Ferrari,1:15.154,2009,MAS
Turkey,Jenson  Button ,Brawn Mercedes,1:27.579,2009,BUT
Great Britain,Sebastian  Vettel ,RBR Renault,1:20.735,2009,VET
Germany,Fernando  Alonso ,Renault,1:33.365,2009,ALO
Hungary,Mark  Webber ,RBR Renault,1:21.931,2009,WEB
Europe,Timo  Glock ,Toyota,1:38.683,2009,GLO
Belgium,Sebastian  Vettel ,RBR Renault,1:47.263,2009,VET
Italy,Adrian  Sutil ,Force India Mercedes,1:24.739,2009,SUT
Singapore,Fernando  Alonso ,Renault,1:48.240,2009,ALO
Japan,Mark  Webber ,RBR Renault,1:32.569,2009,WEB
Brazil,Mark  Webber ,RBR Renault,1:13.733,2009,WEB
Abu Dhabi,Sebastian  Vettel ,RBR Renault,1:40.279,2009,VET
Bahrain,Fernando  Alonso ,Ferrari,1:58.287,2010,ALO
Australia,Mark  Webber ,RBR Renault,1:28.358,2010,WEB
Malaysia,Mark  Webber ,RBR Renault,1:37.054,2010,WEB
China,Lewis  Hamilton ,McLaren Mercedes,1:42.061,2010,HAM
Spain,Lewis  Hamilton ,McLaren Mercedes,1:24.357,2010,HAM
Monaco,Sebastian  Vettel ,RBR Renault,1:15.192,2010,VET
Turkey,Vitaly  Petrov ,Renault,1:29.165,2010,PET
Canada,Robert  Kubica ,Renault,1:16.972,2010,KUB
Europe,Jenson  Button ,McLaren Mercedes,1:38.766,2010,BUT
Great Britain,Fernando  Alonso ,Ferrari,1:30.874,2010,ALO
Germany,Sebastian  Vettel ,RBR Renault,1:15.824,2010,VET
Hungary,Sebastian  Vettel ,RBR Renault,1:22.362,2010,VET
Belgium,Lewis  Hamilton ,McLaren Mercedes,1:49.069,2010,HAM
Italy,Fernando  Alonso ,Ferrari,1:24.139,2010,ALO
Singapore,Fernando  Alonso ,Ferrari,1:47.976,2010,ALO
Japan,Mark  Webber ,RBR Renault,1:33.474,2010,WEB
South Korea,Fernando  Alonso ,Ferrari,1:50.257,2010,ALO
Brazil,Lewis  Hamilton ,McLaren Mercedes,1:13.851,2010,HAM
Abu Dhabi,Lewis  Hamilton ,McLaren Mercedes,1:41.274,2010,HAM
Australia,Felipe  Massa ,Ferrari,1:28.947,2011,MAS
Malaysia,Mark  Webber ,Red Bull Racing Renault,1:40.571,2011,WEB
China,Mark  Webber ,Red Bull Racing Renault,1:38.993,2011,WEB
Turkey,Mark  Webber ,Red Bull Racing Renault,1:29.703,2011,WEB
Spain,Lewis  Hamilton ,McLaren Mercedes,1:26.727,2011,HAM
Monaco,Mark  Webber ,Red Bull Racing Renault,1:16.234,2011,WEB
Canada,Jenson  Button ,McLaren Mercedes,1:16.956,2011,BUT
Europe,Sebastian  Vettel ,Red Bull Racing Renault,1:41.852,2011,VET
Great Britain,Fernando  Alonso ,Ferrari,1:34.908,2011,ALO
Germany,Lewis  Hamilton ,McLaren Mercedes,1:34.302,2011,HAM
Hungary,Felipe  Massa ,Ferrari,1:23.415,2011,MAS
Belgium,Mark  Webber ,Red Bull Racing Renault,1:49.883,2011,WEB
Italy,Lewis  Hamilton ,McLaren Mercedes,1:26.187,2011,HAM
Singapore,Jenson  Button ,McLaren Mercedes,1:48.454,2011,BUT
Japan,Jenson  Button ,McLaren Mercedes,1:36.568,2011,BUT
South Korea,Sebastian  Vettel ,Red Bull Racing Renault,1:39.605,2011,VET
India,Sebastian  Vettel ,Red Bull Racing Renault,1:27.249,2011,VET
Abu Dhabi,Mark  Webber ,Red Bull Racing Renault,1:42.612,2011,WEB
Brazil,Mark  Webber ,Red Bull Racing Renault,1:15.324,2011,WEB
Australia,Jenson  Button ,McLaren Mercedes,1:29.187,2012,BUT
Malaysia,Kimi  RÃ¤ikkÃ¶nen ,Lotus Renault,1:40.722,2012,RAI
China,Kamui  Kobayashi ,Sauber Ferrari,1:39.960,2012,KOB
Bahrain,Sebastian  Vettel ,Red Bull Racing Renault,1:36.379,2012,VET
Spain,Romain  Grosjean ,Lotus Renault,1:26.250,2012,GRO
Monaco,Sergio  Perez ,Sauber Ferrari,1:17.296,2012,PER
Canada,Sebastian  Vettel ,Red Bull Racing Renault,1:15.752,2012,VET
Europe,Nico  Rosberg ,Mercedes,1:42.163,2012,ROS
Great Britain,Kimi  RÃ¤ikkÃ¶nen ,Lotus Renault,1:34.661,2012,RAI
Germany,Michael  Schumacher ,Mercedes,1:18.725,2012,MSC
Hungary,Sebastian  Vettel ,Red Bull Racing Renault,1:24.136,2012,VET
Belgium,Bruno  Senna ,Williams Renault,1:52.822,2012,SEN
Italy,Nico  Rosberg ,Mercedes,1:27.239,2012,ROS
Singapore,Nico  Hulkenberg ,Force India Mercedes,1:51.033,2012,HUL
Japan,Sebastian  Vettel ,Red Bull Racing Renault,1:35.774,2012,VET
South Korea,Mark  Webber ,Red Bull Racing Renault,1:42.037,2012,WEB
India,Jenson  Button ,McLaren Mercedes,1:28.203,2012,BUT
Abu Dhabi,Sebastian  Vettel ,Red Bull Racing Renault,1:43.964,2012,VET
United States,Sebastian  Vettel ,Red Bull Racing Renault,1:39.347,2012,VET
Brazil,Lewis  Hamilton ,McLaren Mercedes,1:18.069,2012,HAM
Australia,Kimi  RÃ¤ikkÃ¶nen ,Lotus Renault,1:29.274,2013,RAI
Malaysia,Sergio  Perez ,McLaren Mercedes,1:39.199,2013,PER
China,Sebastian  Vettel ,Red Bull Racing Renault,1:36.808,2013,VET
Bahrain,Sebastian  Vettel ,Red Bull Racing Renault,1:36.961,2013,VET
Spain,Esteban  Gutierrez,Sauber Ferrari,1:26.217,2013,GUT
Monaco,Sebastian  Vettel ,Red Bull Racing Renault,1:16.577,2013,VET
Canada,Mark  Webber ,Red Bull Racing Renault,1:16.182,2013,WEB
Great Britain,Mark  Webber ,Red Bull Racing Renault,1:33.401,2013,WEB
Germany,Fernando  Alonso ,Ferrari,1:33.468,2013,ALO
Hungary,Mark  Webber ,Red Bull Racing Renault,1:24.069,2013,WEB
Belgium,Sebastian  Vettel ,Red Bull Racing Renault,1:50.756,2013,VET
Italy,Lewis  Hamilton ,Mercedes,1:25.849,2013,HAM
Singapore,Sebastian  Vettel ,Red Bull Racing Renault,1:48.574,2013,VET
South Korea,Sebastian  Vettel ,Red Bull Racing Renault,1:41.380,2013,VET
Japan,Mark  Webber ,Red Bull Racing Renault,1:34.587,2013,WEB
India,Kimi  RÃ¤ikkÃ¶nen ,Lotus Renault,1:27.679,2013,RAI
Abu Dhabi,Fernando  Alonso ,Ferrari,1:43.434,2013,ALO
United States,Sebastian  Vettel ,Red Bull Racing Renault,1:39.856,2013,VET
Brazil,Mark  Webber ,Red Bull Racing Renault,1:15.436,2013,WEB
Australia,Nico  Rosberg ,Mercedes,1:32.478,2014,ROS
Malaysia,Lewis  Hamilton ,Mercedes,1:43.066,2014,HAM
Bahrain,Nico  Rosberg ,Mercedes,1:37.020,2014,ROS
China,Nico  Rosberg ,Mercedes,1:40.402,2014,ROS
Spain,Sebastian  Vettel ,Red Bull Racing Renault,1:28.918,2014,VET
Monaco,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:18.479,2014,RAI
Canada,Felipe  Massa ,Williams Mercedes,1:18.504,2014,MAS
Austria,Sergio  Perez ,Force India Mercedes,1:12.142,2014,PER
Great Britain,Lewis  Hamilton ,Mercedes,1:37.176,2014,HAM
Germany,Lewis  Hamilton ,Mercedes,1:19.908,2014,HAM
Hungary,Nico  Rosberg ,Mercedes,1:25.724,2014,ROS
Belgium,Nico  Rosberg ,Mercedes,1:50.511,2014,ROS
Italy,Lewis  Hamilton ,Mercedes,1:28.004,2014,HAM
Singapore,Lewis  Hamilton ,Mercedes,1:50.417,2014,HAM
Japan,Lewis  Hamilton ,Mercedes,1:51.600,2014,HAM
Russia,Valtteri  Bottas ,Williams Mercedes,1:40.896,2014,BOT
United States,Sebastian  Vettel ,Red Bull Racing Renault,1:41.379,2014,VET
Brazil,Lewis  Hamilton ,Mercedes,1:13.555,2014,HAM
Abu Dhabi,Daniel  Ricciardo ,Red Bull Racing Renault,1:44.496,2014,RIC
Australia,Lewis  Hamilton ,Mercedes,1:30.945,2015,HAM
Malaysia,Nico  Rosberg ,Mercedes,1:42.062,2015,ROS
China,Lewis  Hamilton ,Mercedes,1:42.208,2015,HAM
Bahrain,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:36.311,2015,RAI
Spain,Lewis  Hamilton ,Mercedes,1:28.270,2015,HAM
Monaco,Daniel  Ricciardo ,Red Bull Racing Renault,1:18.063,2015,RIC
Canada,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:16.987,2015,RAI
Austria,Nico  Rosberg ,Mercedes,1:11.235,2015,ROS
Great Britain,Lewis  Hamilton ,Mercedes,1:37.093,2015,HAM
Hungary,Daniel  Ricciardo ,Red Bull Racing Renault,1:24.821,2015,RIC
Belgium,Nico  Rosberg ,Mercedes,1:52.416,2015,ROS
Italy,Lewis  Hamilton ,Mercedes,1:26.672,2015,HAM
Singapore,Daniel  Ricciardo ,Red Bull Racing Renault,1:50.041,2015,RIC
Japan,Lewis  Hamilton ,Mercedes,1:36.145,2015,HAM
Russia,Sebastian  Vettel ,Ferrari,1:40.071,2015,VET
United States,Nico  Rosberg ,Mercedes,1:40.666,2015,ROS
Mexico,Nico  Rosberg ,Mercedes,1:20.521,2015,ROS
Brazil,Lewis  Hamilton ,Mercedes,1:14.832,2015,HAM
Abu Dhabi,Lewis  Hamilton ,Mercedes,1:44.517,2015,HAM
Australia,Daniel  Ricciardo ,Red Bull Racing TAG Heuer,1:28.997,2016,RIC
Bahrain,Nico  Rosberg ,Mercedes,1:34.482,2016,ROS
China,Nico  Hulkenberg ,Force India Mercedes,1:39.824,2016,HUL
Russia,Nico  Rosberg ,Mercedes,1:39.094,2016,ROS
Spain,Daniil  Kvyat ,Toro Rosso Ferrari,1:26.948,2016,KVY
Monaco,Lewis  Hamilton ,Mercedes,1:17.939,2016,HAM
Canada,Nico  Rosberg ,Mercedes,1:15.599,2016,ROS
Europe,Nico  Rosberg ,Mercedes,1:46.485,2016,ROS
Austria,Lewis  Hamilton ,Mercedes,1:08.411,2016,HAM
Great Britain,Nico  Rosberg ,Mercedes,1:35.548,2016,ROS
Hungary,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:23.086,2016,RAI
Germany,Daniel  Ricciardo ,Red Bull Racing TAG Heuer,1:18.442,2016,RIC
Belgium,Lewis  Hamilton ,Mercedes,1:51.583,2016,HAM
Italy,Fernando  Alonso ,McLaren Honda,1:25.340,2016,ALO
Singapore,Daniel  Ricciardo ,Red Bull Racing TAG Heuer,1:47.187,2016,RIC
Malaysia,Nico  Rosberg ,Mercedes,1:36.424,2016,ROS
Japan,Sebastian  Vettel ,Ferrari,1:35.118,2016,VET
United States,Sebastian  Vettel ,Ferrari,1:39.877,2016,VET
Mexico,Daniel  Ricciardo ,Red Bull Racing TAG Heuer,1:21.134,2016,RIC
Brazil,Max  Verstappen ,Red Bull Racing TAG Heuer,1:25.305,2016,VER
Abu Dhabi,Sebastian  Vettel ,Ferrari,1:43.729,2016,VET
Australia,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:26.538,2017,RAI
China,Lewis  Hamilton ,Mercedes,1:35.378,2017,HAM
Bahrain,Lewis  Hamilton ,Mercedes,1:32.798,2017,HAM
Russia,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:36.844,2017,RAI
Spain,Lewis  Hamilton ,Mercedes,1:23.593,2017,HAM
Monaco,Sergio  Perez ,Force India Mercedes,1:14.820,2017,PER
Canada,Lewis  Hamilton ,Mercedes,1:14.551,2017,HAM
Azerbaijan,Sebastian  Vettel ,Ferrari,1:43.441,2017,VET
Austria,Lewis  Hamilton ,Mercedes,1:07.411,2017,HAM
Great Britain,Lewis  Hamilton ,Mercedes,1:30.621,2017,HAM
Hungary,Fernando  Alonso ,McLaren Honda,1:20.182,2017,ALO
Belgium,Sebastian  Vettel ,Ferrari,1:46.577,2017,VET
Italy,Daniel  Ricciardo ,Red Bull Racing TAG Heuer,1:23.361,2017,RIC
Singapore,Lewis  Hamilton ,Mercedes,1:45.008,2017,HAM
Malaysia,Sebastian  Vettel ,Ferrari,1:34.080,2017,VET
Japan,Valtteri  Bottas ,Mercedes,1:33.144,2017,BOT
United States,Sebastian  Vettel ,Ferrari,1:37.766,2017,VET
Mexico,Sebastian  Vettel ,Ferrari,1:18.785,2017,VET
Brazil,Max  Verstappen ,Red Bull Racing TAG Heuer,1:11.044,2017,VER
Abu Dhabi,Valtteri  Bottas ,Mercedes,1:40.650,2017,BOT
Australia,Daniel  Ricciardo ,Red Bull Racing TAG Heuer,1:25.945,2018,RIC
Bahrain,Valtteri  Bottas ,Mercedes,1:33.740,2018,BOT
China,Daniel  Ricciardo ,Red Bull Racing TAG Heuer,1:35.785,2018,RIC
Azerbaijan,Valtteri  Bottas ,Mercedes,1:45.149,2018,BOT
Spain,Daniel  Ricciardo ,Red Bull Racing TAG Heuer,1:18.441,2018,RIC
Monaco,Max  Verstappen ,Red Bull Racing TAG Heuer,1:14.260,2018,VER
Canada,Max  Verstappen ,Red Bull Racing TAG Heuer,1:13.864,2018,VER
France,Valtteri  Bottas ,Mercedes,1:34.225,2018,BOT
Austria,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:06.957,2018,RAI
Great Britain,Sebastian  Vettel ,Ferrari,1:30.696,2018,VET
Germany,Lewis  Hamilton ,Mercedes,1:15.545,2018,HAM
Hungary,Daniel  Ricciardo ,Red Bull Racing TAG Heuer,1:20.012,2018,RIC
Belgium,Valtteri  Bottas ,Mercedes,1:46.286,2018,BOT
Italy,Lewis  Hamilton ,Mercedes,1:22.497,2018,HAM
Singapore,Kevin  Magnussen ,Haas Ferrari,1:41.905,2018,MAG
Russia,Valtteri  Bottas ,Mercedes,1:35.861,2018,BOT
Japan,Sebastian  Vettel ,Ferrari,1:32.318,2018,VET
United States,Lewis  Hamilton ,Mercedes,1:37.392,2018,HAM
Mexico,Valtteri  Bottas ,Mercedes,1:18.741,2018,BOT
Brazil,Valtteri  Bottas ,Mercedes,1:10.540,2018,BOT
Abu Dhabi,Sebastian  Vettel ,Ferrari,1:40.867,2018,VET
Australia,Valtteri  Bottas ,Mercedes,1:25.580,2019,BOT
Bahrain,Charles  Leclerc ,Ferrari,1:33.411,2019,LEC
China,Pierre  Gasly ,Red Bull Racing Honda,1:34.742,2019,GAS
Azerbaijan,Charles  Leclerc ,Ferrari,1:43.009,2019,LEC
Spain,Lewis  Hamilton ,Mercedes,1:18.492,2019,HAM
Monaco,Pierre  Gasly ,Red Bull Racing Honda,1:14.279,2019,GAS
Canada,Valtteri  Bottas ,Mercedes,1:13.078,2019,BOT
France,Sebastian  Vettel ,Ferrari,1:32.740,2019,VET
Austria,Max  Verstappen ,Red Bull Racing Honda,1:07.475,2019,VER
Great Britain,Lewis  Hamilton ,Mercedes,1:27.369,2019,HAM
Germany,Max  Verstappen ,Red Bull Racing Honda,1:16.645,2019,VER
Hungary,Max  Verstappen ,Red Bull Racing Honda,1:17.103,2019,VER
Belgium,Sebastian  Vettel ,Ferrari,1:46.409,2019,VET
Italy,Lewis  Hamilton ,Mercedes,1:21.779,2019,HAM
Singapore,Kevin  Magnussen ,Haas Ferrari,1:42.301,2019,MAG
Russia,Lewis  Hamilton ,Mercedes,1:35.761,2019,HAM
Japan,Lewis  Hamilton ,Mercedes,1:30.983,2019,HAM
Mexico,Charles  Leclerc ,Ferrari,1:19.232,2019,LEC
United States,Charles  Leclerc ,Ferrari,1:36.169,2019,LEC
Brazil,Valtteri  Bottas ,Mercedes,1:10.698,2019,BOT
Abu Dhabi,Lewis  Hamilton ,Mercedes,1:39.283,2019,HAM
Austria,Lando  Norris ,McLaren Renault,1:07.475,2020,NOR
Styria,Carlos  Sainz ,McLaren Renault,1:05.619,2020,SAI
Hungary,Lewis  Hamilton ,Mercedes,1:16.627,2020,HAM
Great Britain,Max  Verstappen ,Red Bull Racing Honda,1:27.097,2020,VER
70th Anniversary,Lewis  Hamilton ,Mercedes,1:28.451,2020,HAM
Spain,Valtteri  Bottas ,Mercedes,1:18.183,2020,BOT
Belgium,Daniel  Ricciardo ,Renault,1:47.483,2020,RIC
Italy,Lewis  Hamilton ,Mercedes,1:22.746,2020,HAM
Tuscany,Lewis  Hamilton ,Mercedes,1:18.833,2020,HAM
Russia,Valtteri  Bottas ,Mercedes,1:37.030,2020,BOT
Eifel,Max  Verstappen ,Red Bull Racing Honda,1:28.139,2020,VER
Portugal,Lewis  Hamilton ,Mercedes,1:18.750,2020,HAM
Emilia Romagna,Lewis  Hamilton ,Mercedes,1:15.484,2020,HAM
Turkey,Lando  Norris ,McLaren Renault,1:36.806,2020,NOR
Bahrain,Max  Verstappen ,Red Bull Racing Honda,1:32.014,2020,VER
Sakhir,George  Russell ,Mercedes,55.404,2020,RUS
Abu Dhabi,Daniel  Ricciardo ,Renault,1:40.926,2020,RIC
Bahrain,Valtteri  Bottas ,Mercedes,1:32.090,2021,BOT
Emilia Romagna,Lewis  Hamilton ,Mercedes,1:16.702,2021,HAM
Portugal,Valtteri  Bottas ,Mercedes,1:19.865,2021,BOT
Spain,Max  Verstappen ,Red Bull Racing Honda,1:18.149,2021,VER
Monaco,Lewis  Hamilton ,Mercedes,1:12.909,2021,HAM
Azerbaijan,Max  Verstappen ,Red Bull Racing Honda,1:44.481,2021,VER
France,Max  Verstappen ,Red Bull Racing Honda,1:36.404,2021,VER
Styria,Lewis  Hamilton ,Mercedes,1:07.058,2021,HAM
Austria,Max  Verstappen ,Red Bull Racing Honda,1:06.200,2021,VER
Great Britain,Sergio  Perez ,Red Bull Racing Honda,1:28.617,2021,PER
Hungary,Pierre  Gasly ,AlphaTauri Honda,1:18.394,2021,GAS
Netherlands,Lewis  Hamilton ,Mercedes,1:11.097,2021,HAM
Italy,Daniel  Ricciardo ,McLaren Mercedes,1:24.812,2021,RIC
Russia,Lando  Norris ,McLaren Mercedes,1:37.423,2021,NOR
Turkey,Valtteri  Bottas ,Mercedes,1:30.432,2021,BOT
United States,Lewis  Hamilton ,Mercedes,1:38.485,2021,HAM
Mexico,Valtteri  Bottas ,Mercedes,1:17.774,2021,BOT
Brazil,Sergio  Perez ,Red Bull Racing Honda,1:11.010,2021,PER
Qatar,Max  Verstappen ,Red Bull Racing Honda,1:23.196,2021,VER
Saudi Arabia,Lewis  Hamilton ,Mercedes,1:30.734,2021,HAM
Abu Dhabi,Max  Verstappen ,Red Bull Racing Honda,1:26.103,2021,VER
Bahrain,Charles  Leclerc ,Ferrari,1:34.570,2022,LEC
Saudi Arabia,Charles  Leclerc ,Ferrari,1:31.634,2022,LEC
Australia,Charles  Leclerc ,Ferrari,1:20.260,2022,LEC
Emilia Romagna,Max  Verstappen ,Red Bull Racing RBPT,1:18.446,2022,VER
Miami,Max  Verstappen ,Red Bull Racing RBPT,1:31.361,2022,VER
Spain,Sergio  Perez ,Red Bull Racing RBPT,1:24.108,2022,PER
Monaco,Lando  Norris ,McLaren Mercedes,1:14.693,2022,NOR
Azerbaijan,Sergio  Perez ,Red Bull Racing RBPT,1:46.046,2022,PER
Canada,Carlos  Sainz ,Ferrari,1:15.749,2022,SAI
Great Britain,Lewis  Hamilton ,Mercedes,1:30.510,2022,HAM
Austria,Max  Verstappen ,Red Bull Racing RBPT,1:07.275,2022,VER
France,Carlos  Sainz ,Ferrari,1:35.781,2022,SAI
Hungary,Lewis  Hamilton ,Mercedes,1:21.386,2022,HAM
Belgium,Max  Verstappen ,Red Bull Racing RBPT,1:49.354,2022,VER
Netherlands,Max  Verstappen ,Red Bull Racing RBPT,1:13.652,2022,VER
Italy,Sergio  Perez ,Red Bull Racing RBPT,1:24.030,2022,PER
Singapore,George  Russell ,Mercedes,1:46.458,2022,RUS
Japan,Zhou  Guanyu ,Alfa Romeo Ferrari,1:44.411,2022,ZHO
United States,George  Russell ,Mercedes,1:38.788,2022,RUS
Mexico,George  Russell ,Mercedes,1:20.153,2022,RUS
Brazil,George  Russell ,Mercedes,1:13.785,2022,RUS
Abu Dhabi,Lando  Norris ,McLaren Mercedes,1:28.391,2022,NOR
Bahrain,Zhou  Guanyu ,Alfa Romeo Ferrari,1:33.996,2023,ZHO
Saudi Arabia,Max  Verstappen ,Red Bull Racing Honda RBPT,1:31.906,2023,VER
Australia,Sergio  Perez ,Red Bull Racing Honda RBPT,1:20.235,2023,PER
Azerbaijan,George  Russell ,Mercedes,1:43.370,2023,RUS
Miami,Max  Verstappen ,Red Bull Racing Honda RBPT,1:29.708,2023,VER
Monaco,Lewis  Hamilton ,Mercedes,1:15.650,2023,HAM
Spain,Max  Verstappen ,Red Bull Racing Honda RBPT,1:16.330,2023,VER
Canada,Sergio  Perez ,Red Bull Racing Honda RBPT,1:14.481,2023,PER
Austria,Max  Verstappen ,Red Bull Racing Honda RBPT,1:07.012,2023,VER
Great Britain,Max  Verstappen ,Red Bull Racing Honda RBPT,1:30.275,2023,VER
Hungary,Max  Verstappen ,Red Bull Racing Honda RBPT,1:20.504,2023,VER
Belgium,Lewis  Hamilton ,Mercedes,1:47.305,2023,HAM
Netherlands,Fernando  Alonso ,Aston Martin Aramco Mercedes,1:13.837,2023,ALO
Italy,Oscar  Piastri ,McLaren Mercedes,1:25.072,2023,PIA
Singapore,Lewis  Hamilton ,Mercedes,1:35.867,2023,HAM
Japan,Max  Verstappen ,Red Bull Racing Honda RBPT,1:34.183,2023,VER
Qatar,Max  Verstappen ,Red Bull Racing Honda RBPT,1:24.319,2023,VER
United States,Yuki  Tsunoda ,AlphaTauri Honda RBPT,1:38.139,2023,TSU
Mexico,Lewis  Hamilton ,Mercedes,1:21.334,2023,HAM
Brazil,Lando  Norris ,McLaren Mercedes,1:12.486,2023,NOR
Las Vegas,Oscar  Piastri ,McLaren Mercedes,1:35.490,2023,PIA
Abu Dhabi,Max  Verstappen ,Red Bull Racing Honda RBPT,1:26.993,2023,VER
Bahrain,Max  Verstappen ,Red Bull Racing Honda RBPT,1:32.608,2024,VER
Saudi Arabia,Charles  Leclerc ,Ferrari,1:31.632,2024,LEC
Australia,Charles  Leclerc ,Ferrari,1:19.813,2024,LEC
Japan,Max  Verstappen ,Red Bull Racing Honda RBPT,1:33.706,2024,VER
China,Fernando  Alonso ,Aston Martin Aramco Mercedes,1:37.810,2024,ALO
Miami,Oscar  Piastri ,McLaren Mercedes,1:30.634,2024,PIA
Emilia Romagna,George  Russell ,Mercedes,1:18.589,2024,RUS
Monaco,Lewis  Hamilton ,Mercedes,1:14.165,2024,HAM
