Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6361,Summer Athletics The Ultimate Challenge US sales,Wii,2008,Sports,DTP Entertainment,0.23,0.04,0.0,0.0,0.27
6362,Rock Revolution,XThreeSixZero,2008,Misc,Konami Digital Entertainment,0.25,0.0,0.0,0.02,0.27
6363,Etrian Odyssey II Heroes of Lagaard,DS,2008,Role Playing,Atlus,0.1,0.0,0.16,0.01,0.27
6365,Jikkyou Powerful Pro Yakyuu Two,SNES,1995,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.0,0.27
6370,Thoroughbred Breeder II,SNES,1994,Simulation,Hect,0.0,0.0,0.27,0.0,0.27
6371,Shin Megami Tensei Devil Survivor,DS,2009,Role Playing,Atlus,0.14,0.0,0.12,0.01,0.27
6372,Magical Vacation,GBA,2001,Role Playing,Nintendo,0.0,0.0,0.26,0.01,0.27
6373,XGIII Extreme G Racing,PSTow,2001,Racing,Acclaim Entertainment,0.13,0.1,0.0,0.03,0.27
6377,Section Eight,XThreeSixZero,2009,Shooter,SouthPeak Games,0.15,0.09,0.0,0.03,0.27
6378,Superbike TwoZeroZeroZero,PS,1999,Racing,Electronic Arts,0.15,0.1,0.0,0.02,0.27
6379,Americas Test Kitchen Lets Get Cooking,DS,2010,Simulation,Nintendo,0.25,0.0,0.0,0.02,0.27
6380,Final Fantasy XI Ultimate Collection,XThreeSixZero,2009,Role Playing,Square Enix,0.25,0.0,0.0,0.02,0.27
6381,Fire Emblem Shin Monshou no Nazo Hikari to Kage no Eiyuu,DS,2010,Strategy,Nintendo,0.0,0.0,0.27,0.0,0.27
6382,FOne TwoZeroOneSix Codemasters,PSFour,2016,Racing,Codemasters,0.01,0.21,0.01,0.04,0.27
6383,Connect Four  Perfection  Trouble,GBA,2005,Misc,Zoo Digital Publishing,0.19,0.07,0.0,0.0,0.27
6387,Dora the Explorer Dora Saves the Crystal Kingdom,Wii,2009,Misc,TakeTwo Interactive,0.24,0.01,0.0,0.02,0.27
6388,Alundra Two A New Legend Begins,PS,1999,Role Playing,Activision,0.15,0.1,0.0,0.02,0.27
6389,Reign of Fire,PSTow,2002,Shooter,BAM Entertainment,0.13,0.1,0.0,0.03,0.27
6391,Jikkyou Powerful Pro Yakyuu NineEight Ketteiban,PS,1998,Sports,Konami Digital Entertainment,0.0,0.0,0.25,0.02,0.27
6392,Ace Attorney Six,ThreeDS,2016,Adventure,Capcom,0.0,0.0,0.27,0.0,0.27
6394,Cake Mania Two Jills Next Adventure,DS,2008,Puzzle,Majesco Entertainment,0.24,0.0,0.0,0.02,0.27
6397,Initial D Special Stage,PSTow,2003,Racing,Sega,0.0,0.0,0.27,0.0,0.27
6399,Jurassic Park Operation Genesis,PSTow,2003,Simulation,Konami Digital Entertainment,0.13,0.1,0.0,0.03,0.27
6401,Final Doom,PS,1995,Shooter,GT Interactive,0.15,0.1,0.0,0.02,0.27
6402,Deadly Premonition,XThreeSixZero,2010,Action,Rising Star Games,0.18,0.06,0.0,0.02,0.27
6404,Are You Smarter than a Fiveth Grader Game Time,Wii,2009,Puzzle,THQ,0.25,0.0,0.0,0.02,0.27
6405,NBA ShootOut TwoZeroZeroOne,PS,2000,Sports,Sony Computer Entertainment,0.15,0.1,0.0,0.02,0.27
6409,Ultimate NES Remix,ThreeDS,2014,Action,Unknown,0.15,0.09,0.0,0.02,0.27
6410,Megamind The Blue Defender,DS,2010,Adventure,THQ,0.19,0.05,0.0,0.02,0.27
6411,NFL Street Three,PSP,2006,Sports,Electronic Arts,0.24,0.0,0.0,0.02,0.27
6412,Battle Arena Toshinden Three,PS,1996,Fighting,Sony Computer Entertainment,0.06,0.04,0.14,0.02,0.27
6413,Teenage Mutant Ninja Turtles Danger of the Ooze,PSThree,2014,Adventure,Activision,0.11,0.11,0.0,0.05,0.27
6414,Jade Cocoon Story of the Tamamayu,PS,1998,Role Playing,Crave Entertainment,0.15,0.1,0.0,0.02,0.27
6415,Super Nazo Puyo Ruruu no Ruu,SNES,1995,Puzzle,Banpresto,0.0,0.0,0.27,0.0,0.27
6417,InuYasha Feudal Combat,PSTow,2005,Fighting,Namco Bandai Games,0.13,0.1,0.0,0.03,0.27
6418,Duel Masters,PSTow,2004,Strategy,Atari,0.13,0.1,0.0,0.03,0.27
6420,Super Collapse Three,DS,2007,Puzzle,Mumbo Jumbo,0.25,0.0,0.0,0.02,0.27
6421,Superman Returns,XThreeSixZero,2006,Action,Electronic Arts,0.23,0.02,0.0,0.02,0.27
6423,My Virtual Tutor Reading Adventure Kindergarten to First,DS,2009,Misc,Mentor Interactive,0.25,0.0,0.0,0.02,0.27
6424,Dynasty Warriors Next,PSV,2011,Action,Tecmo Koei,0.06,0.07,0.11,0.03,0.27
6426,Jikkyou Powerful Pro Yakyuu TwoZeroOneZero,PSThree,2010,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.0,0.27
6427,Operation Armored Liberty,GBA,2003,Action,Majesco Entertainment,0.19,0.07,0.0,0.0,0.27
6429,Dynasty Warriors Seven Xtreme Legends,PSThree,2011,Action,Tecmo Koei,0.04,0.05,0.16,0.02,0.27
6430,Summer Sports Two Island Sports Party,Wii,2008,Sports,Ubisoft,0.24,0.0,0.0,0.02,0.27
6431,Imagine Fashion Party,Wii,2009,Simulation,Ubisoft,0.25,0.0,0.0,0.02,0.27
6432,Fish Tycoon,DS,2007,Simulation,Majesco Entertainment,0.24,0.0,0.0,0.02,0.27
6433,Scene It Twilight,Wii,2009,Misc,Konami Digital Entertainment,0.16,0.08,0.0,0.02,0.27
6434,AndOne Streetball,PSTow,2006,Action,Ubisoft,0.13,0.1,0.0,0.03,0.27
6435,Don King Boxing,Wii,2009,Sports,TakeTwo Interactive,0.14,0.1,0.0,0.03,0.27
6436,Atelier Ayesha The Alchemist of Dusk,PSThree,2012,Role Playing,Tecmo Koei,0.06,0.04,0.14,0.02,0.27
6438,Dragon Ball Z Tenkaichi Tag Team,PSP,2010,Fighting,Namco Bandai Games,0.11,0.04,0.09,0.03,0.27
6439,Sonic X Game Boy Advance Video Volume One,GBA,2004,Misc,Unknown,0.19,0.07,0.0,0.0,0.27
6441,Gallop Racer Two One and Only Road to Victory,PS,1997,Sports,Tecmo Koei,0.0,0.0,0.25,0.02,0.27
6442,NBA ZeroSeven,PSThree,2006,Sports,Sony Computer Entertainment,0.24,0.0,0.01,0.02,0.26
6443,Lowrider,PSTow,2002,Misc,Pacific Century Cyber Works,0.11,0.09,0.03,0.03,0.26
6444,Reload Target Down,Wii,2010,Shooter,Mastiff,0.25,0.0,0.0,0.02,0.26
6445,AllPro Football TwoKEight,XThreeSixZero,2007,Sports,TakeTwo Interactive,0.24,0.0,0.0,0.02,0.26
6446,Dungeons  Dragons Eye of the Beholder,GBA,2002,Role Playing,Atari,0.19,0.07,0.0,0.0,0.26
6449,Battlestations Midway,XThreeSixZero,2007,Strategy,Eidos Interactive,0.21,0.02,0.0,0.02,0.26
6450,Rayman DS,DS,2005,Platform,Ubisoft,0.21,0.04,0.0,0.02,0.26
6451,Gundam Breaker,PSThree,2013,Action,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26
6452,The House of the Dead Two,DC,1998,Shooter,Sega,0.0,0.0,0.26,0.0,0.26
6453,Create,Wii,2010,Action,Electronic Arts,0.22,0.03,0.0,0.02,0.26
6454,ACE Another Centurys Episode R,PSThree,2010,Simulation,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26
6455,Littlest Pet Shop Friends,Wii,2009,Simulation,Electronic Arts,0.22,0.02,0.0,0.02,0.26
6456,Rune Viking Warlord,PSTow,2001,Action,TakeTwo Interactive,0.13,0.1,0.0,0.03,0.26
6457,Panzer Dragoon Orta,XB,2002,Shooter,Sega,0.16,0.05,0.04,0.01,0.26
6458,Jikkyou Powerful Pro Yakyuu NineNine Ketteiban,PS,1999,Sports,Konami Digital Entertainment,0.0,0.0,0.25,0.02,0.26
6460,Kings Field II,PS,1996,Role Playing,From Software,0.08,0.06,0.11,0.02,0.26
6461,Danganronpa Two Goodbye Despair,PSV,2014,Misc,Nippon Ichi Software,0.13,0.07,0.0,0.06,0.26
6462,Aikatsu Twonin no My Princess,ThreeDS,2013,Action,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26
6463,Beyblade Metal Fusion,DS,2009,Role Playing,Hudson Soft,0.08,0.03,0.14,0.01,0.26
6464,NCAA Gamebreaker,PS,1996,Sports,Sony Computer Entertainment,0.15,0.1,0.0,0.02,0.26
6466,NPPL Championship Paintball TwoZeroZeroNine,PSTow,2008,Shooter,Activision Value,0.13,0.1,0.0,0.03,0.26
6468,Zoo Tycoon Two Ultimate Collection,PC,2008,Strategy,Microsoft Game Studios,0.04,0.18,0.0,0.04,0.26
6469,Tomba,PS,1997,Platform,Sony Computer Entertainment,0.15,0.1,0.0,0.02,0.26
6470,Love Plus,DS,2009,Simulation,Konami Digital Entertainment,0.0,0.0,0.26,0.0,0.26
6471,Tales of Innocence,DS,2007,Role Playing,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26
6472,MLB SlugFest TwoZeroZeroSix,PSTow,2006,Sports,Midway Games,0.13,0.1,0.0,0.03,0.26
6474,Rugrats I Gotta Go Party,GBA,2002,Action,THQ,0.19,0.07,0.0,0.0,0.26
6475,Virtua Racing,GEN,1994,Racing,Sega,0.0,0.0,0.26,0.0,0.26
6477,Prison Break The Conspiracy,PSThree,2010,Action,Deep Silver,0.05,0.16,0.0,0.05,0.26
6479,DS Bungaku Zenshuu,DS,2007,Misc,Nintendo,0.0,0.0,0.26,0.0,0.26
6480,We Cheer Two,Wii,2009,Simulation,Namco Bandai Games,0.24,0.0,0.0,0.02,0.26
6481,Nancy Drew The Mystery of the Clue Bender Society,DS,2008,Adventure,Codemasters,0.24,0.0,0.0,0.02,0.26
6482,Inazuma Eleven GO Three Galaxy,ThreeDS,2013,Sports,Level Five,0.0,0.0,0.26,0.0,0.26
6483,Ford Racing Three,PSTow,2004,Racing,TakeTwo Interactive,0.13,0.1,0.0,0.03,0.26
6485,Phantasy Star Universe Ambition of the Illuminus,PSTow,2007,Role Playing,Sega,0.1,0.08,0.05,0.03,0.26
6486,Project Runway,Wii,2010,Simulation,Atari,0.24,0.0,0.0,0.02,0.26
6487,Jikkyou Powerful Pro Yakyuu TwoZeroOneThree,PSThree,2013,Sports,Konami Digital Entertainment,0.0,0.0,0.26,0.0,0.26
6488,The Adventures of Jimmy Neutron Boy Genius vs Jimmy Negatron,GBA,2002,Action,THQ,0.19,0.07,0.0,0.0,0.26
6489,Sengoku Basara Two,PSTow,2006,Action,Capcom,0.0,0.0,0.26,0.0,0.26
6490,Naruto Ultimate Ninja Heroes,PSP,2006,Fighting,Namco Bandai Games,0.26,0.0,0.0,0.0,0.26
6491,Inazuma Eleven Strikers,Wii,2011,Role Playing,Nintendo,0.0,0.01,0.25,0.0,0.26
6492,Hey Arnold The Movie,GBA,2002,Platform,THQ,0.19,0.07,0.0,0.0,0.26
6493,Final Fantasy V Advance,GBA,2006,Role Playing,Nintendo,0.0,0.0,0.26,0.01,0.26
6495,Lumines Electronic Symphony,PSV,2012,Misc,Ubisoft,0.11,0.1,0.01,0.05,0.26
6496,Star Trek Invasion,PS,2000,Simulation,Activision,0.15,0.1,0.0,0.02,0.26
6499,Babysitting Mania,DS,2008,Simulation,Majesco Entertainment,0.24,0.0,0.0,0.02,0.26
6501,Tom and Jerry in War of the Whiskers,PSTow,2002,Fighting,Ubisoft,0.13,0.1,0.0,0.03,0.26
6502,Ace Attorney Investigations Two,DS,2011,Adventure,Capcom,0.0,0.0,0.26,0.0,0.26
6504,Smart Girls Playhouse,DS,2007,Misc,FiveZeroFive Games,0.24,0.0,0.0,0.02,0.26
6506,TouchMaster ThreeOthers sales,DS,2009,Puzzle,Warner Bros Interactive Entertainment,0.0,0.24,0.0,0.02,0.26
6508,Jikkyou Powerful Pro Yakyuu TwoZeroOneOne,PSThree,2011,Sports,Konami Digital Entertainment,0.0,0.0,0.26,0.0,0.26
6511,YuGiOh Ultimate Masters World Championship Tournament TwoZeroZeroSix,GBA,2006,Misc,Konami Digital Entertainment,0.14,0.05,0.07,0.01,0.26
6512,Power Pro Kun Pocket Five,GBA,2003,Sports,Konami Digital Entertainment,0.0,0.0,0.25,0.01,0.26
6513,Konjiki no Gashbell Makai no Bookmark,GBA,2004,Adventure,Banpresto,0.0,0.0,0.25,0.01,0.26
6515,Riding Spirits,PSTow,2002,Racing,BAM Entertainment,0.13,0.1,0.0,0.03,0.26
6518,Etrian Odyssey Untold The Millennium Girl,ThreeDS,2013,Role Playing,Atlus,0.1,0.01,0.14,0.01,0.26
6519,Bust A Groove Two,PS,1999,Misc,Enix Corporation,0.04,0.03,0.18,0.02,0.26
6520,Hatsune Miku Project Diva,PSP,2009,Misc,Sega,0.0,0.0,0.26,0.0,0.26
6522,Gundam Battle Universe,PSP,2008,Fighting,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26
6523,Sengoku Basara Battle Heroes,PSP,2009,Action,Capcom,0.0,0.0,0.26,0.0,0.26
6525,Star Wars Episode I Battle for Naboo,NSixFour,2000,Simulation,LucasArts,0.21,0.05,0.0,0.0,0.26
6526,Duke Nukem Zero Hour,NSixFour,1999,Shooter,GT Interactive,0.21,0.05,0.0,0.0,0.26
6527,Armorines Project SWARM,NSixFour,1999,Shooter,Acclaim Entertainment,0.21,0.05,0.0,0.0,0.26
6528,NCAA March Madness ZeroEight,PSTow,2007,Sports,Electronic Arts,0.13,0.1,0.0,0.03,0.26
6529,Armored Core Nexus,PSTow,2004,Simulation,Indie Games,0.06,0.05,0.14,0.02,0.26
6530,Evolution Skateboarding,PSTow,2002,Sports,Konami Digital Entertainment,0.13,0.1,0.0,0.03,0.26
6531,Dora the Explorer The Search for Pirate Pigs Treasure,GBA,2002,Adventure,NewKidCo,0.19,0.07,0.0,0.0,0.26
6533,Yakuza Ishin,PSThree,2014,Action,Sega,0.0,0.0,0.26,0.0,0.26
6536,Outlaw Volleyball,XB,2003,Sports,TDK Mediactive,0.19,0.06,0.0,0.01,0.26
6539,RealSports Football,TowSixZeroZero,1981,Sports,Atari,0.24,0.01,0.0,0.0,0.26
6541,SD Gundam G Generation Cross Drive,DS,2007,Strategy,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26
6544,Dungeons  Dragons Heroes,XB,2003,Role Playing,Atari,0.19,0.06,0.0,0.01,0.26
6545,The Testament of Sherlock Holmes,PSThree,2012,Adventure,Focus Home Interactive,0.05,0.15,0.0,0.06,0.26
6546,Game of Thrones,XThreeSixZero,2012,Role Playing,Focus Home Interactive,0.15,0.08,0.0,0.02,0.26
6547,Loving Life with Hello Kitty  Friends,DS,2011,Misc,Rising Star Games,0.15,0.08,0.0,0.02,0.26
6548,McGrath Vs Pastrana Freestyle Motocross,PS,2000,Racing,Acclaim Entertainment,0.14,0.1,0.0,0.02,0.26
6549,Legaia Two Duel Saga,PSTow,2001,Role Playing,Eidos Interactive,0.13,0.1,0.0,0.03,0.26
6551,Karaoke Joysound Wii,Wii,2008,Misc,Hudson Soft,0.01,0.0,0.25,0.0,0.26
6553,Polarium,DS,2004,Puzzle,Nintendo,0.13,0.01,0.11,0.01,0.26
6554,Samurai Warriors Four,PSThree,2014,Action,Tecmo Koei,0.0,0.0,0.26,0.0,0.26
6556,Classic NES Series Bomberman,GBA,2004,Action,Nintendo,0.1,0.04,0.11,0.01,0.26
6559,Bratz Ponyz Two,DS,2008,Adventure,Game Factory,0.24,0.0,0.0,0.02,0.26
6560,ACE Another Centurys Episode,PSTow,2005,Simulation,Banpresto,0.0,0.0,0.26,0.0,0.26
6561,Froggers Journey The Forgotten Relic,GBA,2003,Action,Konami Digital Entertainment,0.18,0.07,0.0,0.0,0.26
6564,Dora the Explorer Game Boy Advance Video Volume One,GBA,2004,Misc,Unknown,0.18,0.07,0.0,0.0,0.26
6565,Oddworld Strangers Wrath,XB,2005,Adventure,Electronic Arts,0.19,0.06,0.0,0.01,0.26
6567,King of Fighters Maximum Impact,PSTow,2004,Fighting,Ignition Entertainment,0.13,0.1,0.0,0.03,0.26
6568,Marvel Super Heroes vs Street Fighter,PS,1998,Fighting,Virgin Interactive,0.14,0.1,0.0,0.02,0.26
6569,Legendary,XThreeSixZero,2008,Shooter,Atari,0.08,0.15,0.0,0.03,0.26
6570,JLeague Pro Soccer Club wo Tsukurou,SAT,1996,Sports,Sega,0.0,0.0,0.26,0.0,0.26
6571,Daisy Fuentes Pilates,Wii,2009,Sports,FiveZeroFive Games,0.17,0.06,0.0,0.02,0.26
6572,Star Trek The Game,PSThree,2013,Action,Namco Bandai Games,0.1,0.11,0.0,0.05,0.26
6573,Drakan The Ancients Gates,PSTow,2002,Adventure,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.26
6574,Dead or Alive Xtreme Two,XThreeSixZero,2006,Sports,Tecmo Koei,0.15,0.03,0.06,0.02,0.26
6575,Petz Crazy Monkeyz,Wii,2008,Simulation,Ubisoft,0.23,0.0,0.0,0.02,0.26
6577,Choro QThree,PS,1998,Racing,Takara,0.0,0.0,0.24,0.02,0.26
6578,Tokyo Jungle,PSThree,2012,Action,Sony Computer Entertainment,0.0,0.0,0.26,0.0,0.26
6579,Hunted The Demons Forge,PSThree,2011,Action,Bethesda Softworks,0.12,0.08,0.02,0.04,0.26
6582,Bionicle Matoran Adventures,GBA,2002,Platform,Electronic Arts,0.18,0.07,0.0,0.0,0.26
6583,Armored Core Master of Arena,PS,1999,Simulation,From Software,0.07,0.05,0.13,0.02,0.26
6584,Fire Emblem Thracia SevenSevenSix,SNES,1999,Strategy,Nintendo,0.0,0.0,0.26,0.0,0.26
6585,Desert Falcon,TowSixZeroZero,1987,Shooter,Atari,0.24,0.01,0.0,0.0,0.26
6587,Tengai Makyou Daishi no Mokushiroku  The Apocalypse IV,SAT,1997,Role Playing,Hudson Soft,0.0,0.0,0.26,0.0,0.26
6588,ACE Another Centurys Episode Three The Final,PSTow,2007,Simulation,Banpresto,0.0,0.0,0.26,0.0,0.26
6591,The Backyardigans,DS,2009,Adventure,TakeTwo Interactive,0.24,0.0,0.0,0.02,0.26
6594,Silent Hunter Five Battle of the Atlantic,PC,2010,Simulation,Ubisoft,0.0,0.21,0.0,0.05,0.26
6595,MTX Mototrax,PSTow,2004,Racing,Activision,0.13,0.1,0.0,0.03,0.26
6596,Tomb Raider Underworld Others sales,PSTow,2009,Adventure,Eidos Interactive,0.0,0.21,0.0,0.04,0.26
6597,NHL Rock the Rink,PS,1999,Sports,Electronic Arts,0.14,0.1,0.0,0.02,0.26
6599,NBA ShootOut TwoZeroZeroFour,PSTow,2003,Sports,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.26
6600,TOCA Race Driver Two Ultimate Racing Simulator,PSP,2005,Racing,Codemasters,0.0,0.25,0.0,0.0,0.26
6601,Super Robot Taisen R,GBA,2002,Strategy,Banpresto,0.0,0.0,0.25,0.01,0.26
6602,Castlevania Harmony of Dissonance,GBA,2002,Platform,Konami Digital Entertainment,0.16,0.06,0.04,0.0,0.26
6603,Metroid Prime Pinball,DS,2005,Misc,Nintendo,0.21,0.0,0.02,0.02,0.26
6604,Formula One TwoZeroZeroOne,PSTow,2001,Racing,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.26
6605,Nickelodeon Dance,Wii,2011,Misc,TakeTwo Interactive,0.23,0.01,0.0,0.02,0.26
6606,Doukyuusei if,SAT,1996,Role Playing,NEC,0.0,0.0,0.26,0.0,0.26
6609,Super Street Fighter II Turbo Revival,GBA,2001,Fighting,Ubisoft,0.18,0.07,0.0,0.0,0.25
6611,Combination Pro Soccer JLeague no Kantoku ni Natte Sekai wo Mezase,PS,1998,Sports,Axela,0.0,0.0,0.24,0.02,0.25
6612,NHL ZeroEight,PSThree,2007,Action,Electronic Arts,0.16,0.06,0.0,0.03,0.25
6613,Kidou Senshi Gundam Giren no Yabou,SAT,1998,Strategy,Namco Bandai Games,0.0,0.0,0.25,0.0,0.25
6614,Imagine Ballet Star,DS,2008,Simulation,Ubisoft,0.23,0.01,0.0,0.02,0.25
6616,Percy Jackson and the Olympians The Lightning Thief,DS,2010,Role Playing,Activision,0.22,0.01,0.0,0.02,0.25
6618,Crusaders of Might and Magic,PS,1999,Role Playing,ThreeDO,0.14,0.1,0.0,0.02,0.25
6619,Journey,PSThree,2012,Adventure,Sony Computer Entertainment Europe,0.04,0.15,0.0,0.06,0.25
6620,Tearaway Unfolded,PSFour,2015,Platform,Sony Computer Entertainment,0.09,0.12,0.0,0.04,0.25
6622,Bomberman Generation,GC,2002,Adventure,Vivendi Games,0.15,0.04,0.06,0.01,0.25
6624,Surfing HThreeO,PSTow,2000,Sports,TakeTwo Interactive,0.12,0.1,0.0,0.03,0.25
6625,Romance of the Three Kingdoms II,SNES,1991,Strategy,Tecmo Koei,0.0,0.0,0.25,0.0,0.25
6627,Resident Evil Archives Resident Evil Zero,Wii,2008,Action,Capcom,0.14,0.04,0.06,0.02,0.25
6628,Zoo Resort ThreeD,ThreeDS,2011,Simulation,Ubisoft,0.11,0.09,0.03,0.02,0.25
6630,The Suite Life of Zack  Cody Tipton Trouble,DS,2006,Action,Disney Interactive Studios,0.23,0.0,0.0,0.02,0.25
6633,Galactic Attack,SAT,1994,Shooter,Acclaim Entertainment,0.0,0.0,0.25,0.0,0.25
6634,Power Pro Kun Pocket Two,GB,2000,Sports,Konami Digital Entertainment,0.0,0.0,0.25,0.0,0.25
6637,Walt Disneys The Jungle Book Rhythm NGroove,PSTow,2003,Misc,Disney Interactive Studios,0.12,0.1,0.0,0.03,0.25
6639,Scrabble,DS,2009,Misc,Ubisoft,0.21,0.02,0.0,0.03,0.25
6640,Evil Zone,PS,1998,Fighting,Titus,0.14,0.1,0.0,0.02,0.25
6641,Spy Kids Challenger,GBA,2002,Platform,Disney Interactive Studios,0.18,0.07,0.0,0.0,0.25
6642,KON Houkago Live,PSP,2010,Misc,Sega,0.0,0.0,0.25,0.0,0.25
6643,A IV Evolution A Ressha de Ikou Four,PS,1994,Strategy,ArtDink,0.0,0.0,0.24,0.02,0.25
6644,Exhibition,XB,2001,Misc,Microsoft Game Studios,0.19,0.05,0.0,0.01,0.25
6647,Amped Two,XB,2003,Sports,Microsoft Game Studios,0.2,0.04,0.0,0.01,0.25
6648,Blaster Master Blasting Again,PS,2000,Shooter,Sunsoft,0.14,0.1,0.0,0.02,0.25
6649,College Hoops TwoKSix,PSTow,0,Sports,Unknown,0.12,0.1,0.0,0.03,0.25
6650,Cartoon Network Collection Game Boy Advance Video Volume One,GBA,2004,Misc,Unknown,0.18,0.07,0.0,0.0,0.25
6653,Kung Fu Panda Two,XThreeSixZero,2011,Action,THQ,0.16,0.07,0.0,0.02,0.25
6655,Birds of Steel,PSThree,2012,Simulation,Konami Digital Entertainment,0.1,0.09,0.02,0.04,0.25
6657,WipEout XL,PS,1996,Racing,Psygnosis,0.14,0.1,0.0,0.02,0.25
6658,Animal Paradise,DS,2007,Simulation,Empire Interactive,0.09,0.14,0.0,0.02,0.25
6659,The Powerpuff Girls Chemical XTraction,PS,2001,Action,BAM Entertainment,0.14,0.1,0.0,0.02,0.25
6661,Dynasty Warriors Six JP sales,PSTow,2008,Action,Tecmo Koei,0.0,0.0,0.25,0.0,0.25
6664,Men of Valor,XB,2004,Shooter,Vivendi Games,0.19,0.05,0.0,0.01,0.25
6665,Bomberman Tournament,GBA,2001,Puzzle,Activision,0.1,0.04,0.1,0.01,0.25
6668,Billy Hatcher and the Giant Egg,GC,2003,Platform,Sega,0.19,0.05,0.0,0.01,0.25
6669,Midways Greatest Arcade Hits,GBA,2001,Misc,Midway Games,0.18,0.07,0.0,0.0,0.25
6672,WipEout Fusion,PSTow,2002,Racing,Sony Computer Entertainment,0.12,0.1,0.0,0.03,0.25
6673,SpiderMan Edge of Time,XThreeSixZero,2011,Action,Activision,0.18,0.05,0.0,0.02,0.25
6675,Marie no Atelier Salburg no Renkinjutsushi,PS,1997,Role Playing,Gust,0.0,0.0,0.23,0.02,0.25
6676,The Outfit,XThreeSixZero,2006,Action,THQ,0.21,0.02,0.0,0.02,0.25
6677,Golden Nugget Casino,GBA,2004,Misc,Majesco Entertainment,0.18,0.07,0.0,0.0,0.25
6680,Ultimate Fighting Championship,PS,2000,Fighting,Ubisoft,0.14,0.09,0.0,0.02,0.25
6682,MotoGP ZeroSeven,XThreeSixZero,2007,Racing,THQ,0.23,0.0,0.0,0.02,0.25
6683,Samurai Shodown II,NG,1994,Fighting,SNK,0.0,0.0,0.25,0.0,0.25
6685,Don King Presents Prizefighter,XThreeSixZero,2008,Sports,TakeTwo Interactive,0.14,0.08,0.0,0.02,0.25
6686,Hybrid Heaven,NSixFour,1999,Role Playing,Konami Digital Entertainment,0.16,0.04,0.05,0.0,0.25
6688,Fox Sports College Hoops NineNine,NSixFour,1998,Sports,Fox Interactive,0.2,0.05,0.0,0.0,0.25
6690,MRC MultiRacing Championship,NSixFour,1997,Racing,Ocean,0.2,0.05,0.0,0.0,0.25
6691,FOne Pole Position SixFour,NSixFour,1997,Racing,Ubisoft,0.11,0.13,0.0,0.01,0.25
6692,Gex SixFour Enter the Gecko,NSixFour,1998,Action,GT Interactive,0.2,0.05,0.0,0.0,0.25
6693,Wayne Gretzkys ThreeD Hockey NineEight,NSixFour,1997,Sports,Midway Games,0.23,0.02,0.0,0.0,0.25
6694,NBA Courtside Two featuring Kobe Bryant,NSixFour,1999,Sports,Nintendo,0.2,0.05,0.0,0.0,0.25
6696,USing Girls Night,Wii,2010,Misc,Mindscape,0.0,0.21,0.0,0.04,0.25
6697,The Mummy Tomb of the Dragon Emperor,PSTow,2008,Action,Vivendi Games,0.12,0.1,0.0,0.03,0.25
6699,ScoobyDoo Unmasked,PSTow,2005,Platform,THQ,0.12,0.1,0.0,0.03,0.25
6700,Penny Racers,PS,1996,Racing,Sony Computer Entertainment,0.0,0.0,0.23,0.02,0.25
6702,Caesars Palace II,PS,1998,Misc,Interplay,0.14,0.09,0.0,0.02,0.25
6704,World Series Baseball TwoKThree,PSTow,2003,Sports,Sega,0.12,0.1,0.0,0.03,0.25
6705,FreshlyPicked Tingles Rosy Rupeeland,DS,2006,Role Playing,Nintendo,0.0,0.01,0.24,0.0,0.25
6706,Pro Yakyuu Team o Tsukurou,SAT,1998,Sports,Sega,0.0,0.0,0.25,0.0,0.25
6707,LA Noire The Complete Edition,PC,2011,Adventure,TakeTwo Interactive,0.08,0.13,0.0,0.04,0.25
6708,Sentimental Graffiti,SAT,1998,Adventure,NEC Interchannel,0.0,0.0,0.25,0.0,0.25
6712,The Legend of Legacy,ThreeDS,2015,Role Playing,FuRyu,0.11,0.02,0.1,0.01,0.25
6713,Disgaea Two Dark Hero Days,PSP,2009,Role Playing,Nippon Ichi Software,0.1,0.01,0.12,0.02,0.25
6714,Devil Kings,PSTow,2005,Action,Capcom,0.03,0.03,0.18,0.01,0.25
6715,Ultimate Band,Wii,2008,Misc,Disney Interactive Studios,0.2,0.03,0.0,0.02,0.25
6717,Far Cry Instincts Predator,XThreeSixZero,2006,Shooter,Ubisoft,0.2,0.03,0.0,0.02,0.25
6718,Medabots AX Metabee,GBA,2002,Role Playing,Natsume,0.18,0.07,0.0,0.0,0.25
6719,Tennis no OjiSama Genius Boys Academy,GBA,2002,Sports,Konami Digital Entertainment,0.0,0.0,0.24,0.01,0.25
6720,XMen Destiny,PSThree,2011,Action,Activision,0.14,0.08,0.0,0.03,0.25
6722,XMen Origins Wolverine,Wii,2009,Action,Activision,0.19,0.04,0.0,0.02,0.25
